image_idx,model,checkpoint,queries,l2,ssim,label,true_label
0,standard,original,0,0.0,1.0,3,3
0,standard,phase1_boundary,87,2.2963539437478633,0.9317255020141602,8,3
0,standard,p3_0,87,2.2963539437478633,0.9317255020141602,8,3
0,standard,p3_25,170,2.24548930909131,0.9358682632446289,6,3
0,standard,p3_50,170,2.24548930909131,0.9358682632446289,6,3
0,standard,p3_75,227,2.361727688169785,0.9331546425819397,6,3
0,standard,p3_100,227,2.361727688169785,0.9331546425819397,6,3
0,robust,original,0,0.0,1.0,3,3
0,robust,phase1_boundary,95,6.610421472245774,0.2706510126590729,4,3
0,robust,p3_0,95,6.610421472245774,0.2706510126590729,4,3
0,robust,p3_25,193,6.61018861837533,0.27070513367652893,4,3
0,robust,p3_50,193,6.61018861837533,0.27070513367652893,4,3
0,robust,p3_75,193,6.61018861837533,0.27070513367652893,4,3
0,robust,p3_100,227,6.124627195194856,0.4693061411380768,3,3
7,standard,original,0,0.0,1.0,7,7
7,standard,phase1_boundary,90,3.362439550458608,0.925459086894989,3,7
7,standard,p3_0,90,3.362439550458608,0.925459086894989,3,7
7,standard,p3_25,225,3.444963667661781,0.9203525185585022,7,7
7,standard,p3_50,225,3.444963667661781,0.9203525185585022,7,7
7,standard,p3_75,225,3.444963667661781,0.9203525185585022,7,7
7,standard,p3_100,225,3.444963667661781,0.9203525185585022,7,7
7,robust,original,0,0.0,1.0,7,7
7,robust,phase1_boundary,96,8.494543878035953,0.593015730381012,6,7
7,robust,p3_0,96,8.494543878035953,0.593015730381012,6,7
7,robust,p3_25,179,8.377644955420925,0.6443638801574707,6,7
7,robust,p3_50,179,8.377644955420925,0.6443638801574707,6,7
7,robust,p3_75,179,8.377644955420925,0.6443638801574707,6,7
7,robust,p3_100,227,7.864740751294845,0.7079567909240723,6,7
