model,image_idx,y_true,k_total,winning_corruption,phase1_l2,phase1_queries,phase1_ssim,phase1_mse,phase1_linf,best_l2,final_l2,final_label,final_ssim,final_mse,final_linf,IR_phase3,n_gens,queries_phase3,q_offspring_eval,q_xi_shrink,q_theta_bs,runtime_sec
standard,0,3,14,jpeg,2.2963539437478633,87,0.9317255020141602,0.0017165499462781133,0.18791788816452026,2.1147877494536185,2.1479388733876297,6,0.936821460723877,0.0015018364021395002,0.1616058349609375,0.07906716418371981,16,1940,858,16,1066,7.275025367736816
robust,0,3,14,blur,6.610421472245774,95,0.2706510126590729,0.014224502617424485,0.5578067302703857,4.041571329682522,4.052817551424506,6,0.8396809697151184,0.005346787133922652,0.29931700229644775,0.38860610527614814,20,1914,1120,66,728,7.9551615715026855
standard,1,8,14,jpeg,2.7082003615912114,134,0.9177562594413757,0.0023874834630607973,0.38890188932418823,0.8977423837906215,0.8977423837906215,1,0.9822964072227478,0.00026235070912561777,0.05396634340286255,0.6685096137926995,19,1891,1064,21,806,7.279287338256836
robust,1,8,14,fractal_random,12.295988972785665,52,0.2057356834411621,0.04921593255822484,0.6769779324531555,7.1614789943616906,7.301652830072243,0,0.692115306854248,0.017354861367233576,0.45747583359479904,0.41757600708556486,20,1962,1120,62,780,7.88311505317688
standard,2,8,14,fractal_random,0.046711644837304965,123,0.9999585747718811,7.10279219858893e-07,0.0011764168739318848,0.0433837531487877,0.04369022299509831,1,0.9999648928642273,6.213655093669735e-07,0.001975715160369873,0.07124329918392286,17,1904,951,17,936,7.3966593742370605
robust,2,8,14,fractal_random,9.616166976782663,52,0.3254525363445282,0.030101128686642418,0.5737703442573547,4.794096428171297,4.953115326193863,9,0.7328729033470154,0.00798611702223361,0.2953858971595764,0.5014545359137175,21,1975,1128,93,754,8.121005296707153
standard,3,0,14,fractal_random,0.7248309620860584,34,0.9863812923431396,0.0001710221105464196,0.04958623647689819,0.5287340137472322,0.5290233033776123,8,0.9923944473266602,9.11020936636651e-05,0.035035550594329834,0.2705416277671977,18,1988,1008,18,962,8.05619215965271
robust,3,0,14,blur,4.079631842928801,95,0.727457582950592,0.0054177721269006015,0.2858206331729889,3.5025623060945694,3.5613110319051278,8,0.8386943340301514,0.0041285599443411656,0.39206749200820923,0.1414513757741309,17,1932,927,17,988,9.901291131973267
standard,4,6,14,blur,3.045106184899541,142,0.8202604651451111,0.0030184478116254687,0.19812464714050293,2.9187188371596133,2.9375051657182496,6,0.8339419364929199,0.00280889866802557,0.17777103185653687,0.04150507078100376,15,1885,789,56,1040,8.619751930236816
robust,4,6,14,blur,2.3075841040349974,141,0.8981207013130188,0.001733380337628581,0.1607038676738739,1.8137445346428045,1.820872202770894,4,0.9420614838600159,0.001079288895496167,0.18935054540634155,0.21400718115915016,16,1874,896,16,962,8.904772520065308
