model,arm,phase1_type,phase3_cfg,image_idx,y_true,phase1_l2_uniform,phase1_l2,phase1_queries,winning_corruption,jpeg_l2,blur_l2,fractal_l2,best_l2,final_l2,IR_phase3,IR_total,n_gens,queries_phase3
standard,A,uniform,lam28_xi1.0_tau3,0,3,3.0525533040213797,3.0525533040213797,27,,,,,2.305642307851724,2.305642307851724,0.2446840142596981,0.2446840142596981,19,1484
standard,B,uniform,lam14_xi0.75_tau3,0,3,3.0525533040213797,3.0525533040213797,27,,,,,2.2168941458613896,2.218149297857979,0.27375743350955006,0.27375743350955006,27,1500
standard,C,corruption,lam28_xi1.0_tau3,0,3,3.0525533040213797,2.2963539437478633,87,jpeg,2.2963539437478633,,3.602683554647034,2.1185371979274503,2.1185371979274503,0.07743438083860865,0.30597863921441537,16,1439
standard,D,corruption,lam14_xi0.75_tau3,0,3,3.0525533040213797,2.2963539437478633,87,jpeg,2.2963539437478633,,3.602683554647034,2.0886147378518882,2.0886147378518882,0.09046480245851184,0.3157810757635635,23,1426
robust,A,uniform,lam28_xi1.0_tau3,0,3,5.401425973269379,5.401425973269379,27,,,,,5.382988018399725,5.584004351776963,0.0034135346778608215,0.0034135346778608215,13,1495
robust,B,uniform,lam14_xi0.75_tau3,0,3,5.401425973269379,5.401425973269379,27,,,,,5.3794042074363055,5.381129364986871,0.00407702816664609,0.00407702816664609,8,1499
robust,C,corruption,lam28_xi1.0_tau3,0,3,5.401425973269379,6.610421472245774,95,blur,,6.610421472245774,7.674220113060701,6.610421472245774,6.6145719809854775,0.0,-0.2238289490515064,2,1431
robust,D,corruption,lam14_xi0.75_tau3,0,3,5.401425973269379,6.610421472245774,95,blur,,6.610421472245774,7.674220113060701,6.60960627100283,6.60960627100283,0.00012332061523854403,-0.22367802571256262,25,1408
standard,A,uniform,lam28_xi1.0_tau3,1,8,4.066335558622595,4.066335558622595,27,,,,,2.244497860818443,2.244497860818443,0.4480293550641624,0.4480293550641624,16,1499
standard,B,uniform,lam14_xi0.75_tau3,1,8,4.066335558622595,4.066335558622595,27,,,,,1.7196642575888132,1.7196642575888132,0.5770973071953458,0.5770973071953458,29,1491
