model,arm,phase3_type,image_idx,y_true,k_corr,phase1_l2,phase1_queries,winning_corruption,best_l2,final_l2,IR_phase3,n_gens,queries_phase3,p1_jpeg,p1_blur,p1_brightness,p1_contrast,p1_inversion,p1_hue_shift,p1_posterize,p1_fractal_random,p1_low_freq_rand
standard,C_full,pixel,0,3,5,2.2963539437478633,211,jpeg,2.0050001657777754,2.0317224382482673,0.1268766858712431,15,1290,2.2963539437478633,,,10.670702468653356,,,6.060563568497944,3.602683554647034,6.225918482165402
standard,E_rand,random_sub,0,3,5,2.2963539437478633,211,jpeg,2.293665822503018,2.2941725271297297,0.0011706040578648928,16,1315,2.2963539437478633,,,10.670702468653356,,,6.060563568497944,3.602683554647034,6.225918482165402
standard,E_corr,corrupt_sub,0,3,5,2.2963539437478633,211,jpeg,2.003432266775801,2.0696598003652005,0.12755946345709526,17,1316,2.2963539437478633,,,10.670702468653356,,,6.060563568497944,3.602683554647034,6.225918482165402
robust,C_full,pixel,0,3,5,5.815515364540428,245,inversion,5.401721016967467,5.6435254014672385,0.07115351291065862,12,1258,,6.610421472245774,,5.815519066326523,5.815515364540428,,,7.674220113060701,10.270454516839758
robust,E_rand,random_sub,0,3,5,5.815515364540428,245,inversion,5.807674207336913,5.807674207336914,0.0013483168235312267,32,1276,,6.610421472245774,,5.815519066326523,5.815515364540428,,,7.674220113060701,10.270454516839758
robust,E_corr,corrupt_sub,0,3,5,5.815515364540428,245,inversion,5.160814630312382,5.17932508660915,0.11257828295322256,17,1257,,6.610421472245774,,5.815519066326523,5.815515364540428,,,7.674220113060701,10.270454516839758
standard,C_full,pixel,1,8,7,2.7082003615912114,304,jpeg,2.7082003615912114,2.725967002610224,0.0,2,1222,2.7082003615912114,2.9940580685680365,23.94448560627131,17.25629047417608,,,9.984761302918065,3.5882021344470036,5.909880453368059
standard,E_rand,random_sub,1,8,7,2.7082003615912114,304,jpeg,2.7082003615912114,2.754273742043357,0.0,3,1222,2.7082003615912114,2.9940580685680365,23.94448560627131,17.25629047417608,,,9.984761302918065,3.5882021344470036,5.909880453368059
standard,E_corr,corrupt_sub,1,8,7,2.7082003615912114,304,jpeg,2.573241180240067,2.573241180240067,0.049833529034701285,15,1216,2.7082003615912114,2.9940580685680365,23.94448560627131,17.25629047417608,,,9.984761302918065,3.5882021344470036,5.909880453368059
robust,C_full,pixel,1,8,4,7.978407337993231,202,low_freq_rand,7.622757209776613,7.633495674118689,0.044576581910403354,9,1324,,,21.200085521519696,,18.94776300330383,,,12.295988972785665,7.978407337993231
robust,E_rand,random_sub,1,8,4,7.978407337993231,202,low_freq_rand,7.949294478862824,7.957061570200931,0.003648956226109395,17,1323,,,21.200085521519696,,18.94776300330383,,,12.295988972785665,7.978407337993231
robust,E_corr,corrupt_sub,1,8,4,7.978407337993231,202,low_freq_rand,7.109034483956034,7.1099517647603125,0.10896571423437333,19,1315,,,21.200085521519696,,18.94776300330383,,,12.295988972785665,7.978407337993231
standard,C_full,pixel,2,8,8,0.046711644837304965,339,fractal_random,0.012468949766472273,0.012468949766472273,0.7330654955546696,18,1172,1.214226359505521,1.4219009325603402,24.915879662438854,13.571873518686502,13.571912032719698,,1.0640993064341235,0.046711644837304965,5.826493235914694
standard,E_rand,random_sub,2,8,8,0.046711644837304965,339,fractal_random,0.04663947285065608,0.04664209153077777,0.0015450534208387649,16,1188,1.214226359505521,1.4219009325603402,24.915879662438854,13.571873518686502,13.571912032719698,,1.0640993064341235,0.046711644837304965,5.826493235914694
standard,E_corr,corrupt_sub,2,8,8,0.046711644837304965,339,fractal_random,0.04556070659156666,0.04611843007999915,0.02463921469147532,16,1164,1.214226359505521,1.4219009325603402,24.915879662438854,13.571873518686502,13.571912032719698,,1.0640993064341235,0.046711644837304965,5.826493235914694
robust,C_full,pixel,2,8,4,7.019524020777879,202,low_freq_rand,6.708805343026395,6.71621164567427,0.04426492121570533,9,1324,,,21.46612073327752,,14.983851952478028,,,9.616166976782663,7.019524020777879
robust,E_rand,random_sub,2,8,4,7.019524020777879,202,low_freq_rand,6.996785921134081,6.996785921654696,0.0032392651661982386,19,1315,,,21.46612073327752,,14.983851952478028,,,9.616166976782663,7.019524020777879
robust,E_corr,corrupt_sub,2,8,4,7.019524020777879,202,low_freq_rand,6.048482248694346,6.115887999876141,0.13833441828950752,18,1319,,,21.46612073327752,,14.983851952478028,,,9.616166976782663,7.019524020777879
standard,C_full,pixel,3,0,4,0.7248309620860584,184,fractal_random,0.6315400170229286,0.6451470995177037,0.12870717442124582,17,1343,,,9.212756418324712,,,1.782694688212888,,0.7248309620860584,5.7748210675431135
standard,E_rand,random_sub,3,0,4,0.7248309620860584,184,fractal_random,0.7247770114229649,0.725030303956894,7.443206197782818e-05,16,1326,,,9.212756418324712,,,1.782694688212888,,0.7248309620860584,5.7748210675431135
standard,E_corr,corrupt_sub,3,0,4,0.7248309620860584,184,fractal_random,0.7193538244622641,0.7243376424643357,0.007556434410625949,15,1331,,,9.212756418324712,,,1.782694688212888,,0.7248309620860584,5.7748210675431135
robust,C_full,pixel,3,0,5,4.079631842928801,245,blur,4.079631842928801,4.120791299385708,0.0,4,1281,,4.079631842928801,15.90317961107611,8.517916868605251,,,,6.500246873496045,10.781535622069663
robust,E_rand,random_sub,3,0,5,4.079631842928801,245,blur,4.075642815744774,4.086801961263711,0.0009777909717371743,18,1258,,4.079631842928801,15.90317961107611,8.517916868605251,,,,6.500246873496045,10.781535622069663
robust,E_corr,corrupt_sub,3,0,5,4.079631842928801,245,blur,4.0671094119562285,4.10987549904471,0.003069500252646064,14,1270,,4.079631842928801,15.90317961107611,8.517916868605251,,,,6.500246873496045,10.781535622069663
standard,C_full,pixel,4,6,6,3.045106184899541,292,blur,3.019411074486125,3.0206240545151717,0.008438165651114618,4,1234,3.252390777547669,3.045106184899541,21.445141310458837,7.476191905448603,,,,8.536350022939411,8.061170079795414
standard,E_rand,random_sub,4,6,6,3.045106184899541,292,blur,3.045106184899541,3.0828210586800244,0.0,3,1234,3.252390777547669,3.045106184899541,21.445141310458837,7.476191905448603,,,,8.536350022939411,8.061170079795414
