model,arm,image_idx,y_true,k_total,phase1_l2,phase1_queries,winning_corruption,best_l2,final_l2,IR_phase3,n_gens,queries_phase3,p1_jpeg,p1_blur,p1_brightness,p1_contrast,p1_inversion,p1_hue_shift,p1_posterize,p1_fractal_random,p1_sharpen,p1_saturation,p1_gamma
standard,E_sep_k14,0,3,14,2.2963539437478633,213,jpeg,2.06464548584959,2.1923416810574965,0.10090276306452287,15,1309,2.2963539437478633,,,10.670702468653356,,,6.060563568497944,3.602683554647034,13.86846557424645,,
standard,E_full_k14,0,3,14,2.2963539437478633,213,jpeg,2.2386122195017526,2.296933779108008,0.02514495833855247,3,1313,2.2963539437478633,,,10.670702468653356,,,6.060563568497944,3.602683554647034,13.86846557424645,,
standard,E_full_k14_lam28,0,3,14,2.2963539437478633,213,jpeg,2.1833369852019664,2.1833369852019664,0.049215827052097504,12,1310,2.2963539437478633,,,10.670702468653356,,,6.060563568497944,3.602683554647034,13.86846557424645,,
robust,E_sep_k14,0,3,14,5.815515364540428,247,inversion,4.198646889875081,4.200899170425803,0.2780266878020912,19,1277,,6.610421472245774,,5.815519066326523,5.815515364540428,,,7.674220113060701,11.648266882956948,,
robust,E_full_k14,0,3,14,5.815515364540428,247,inversion,4.360481913997281,4.360481913997281,0.2501985394820002,19,1255,,6.610421472245774,,5.815519066326523,5.815515364540428,,,7.674220113060701,11.648266882956948,,
robust,E_full_k14_lam28,0,3,14,5.815515364540428,247,inversion,4.204588945836877,4.212369912782007,0.2770049286647968,16,1275,,6.610421472245774,,5.815519066326523,5.815515364540428,,,7.674220113060701,11.648266882956948,,
standard,E_sep_k14,1,8,14,2.7082003615912114,306,jpeg,1.0113108470810004,1.0132860229104228,0.6265745838366251,20,1202,2.7082003615912114,2.9940580685680365,23.94448560627131,17.25629047417608,,,9.984761302918065,3.5882021344470036,,8.573363910574477,
standard,E_full_k14,1,8,14,2.7082003615912114,306,jpeg,1.3284659683260542,1.363728476484566,0.5094654047141808,16,1214,2.7082003615912114,2.9940580685680365,23.94448560627131,17.25629047417608,,,9.984761302918065,3.5882021344470036,,8.573363910574477,
standard,E_full_k14_lam28,1,8,14,2.7082003615912114,306,jpeg,2.6673313270761465,2.7030385443734057,0.015090845970883825,4,1220,2.7082003615912114,2.9940580685680365,23.94448560627131,17.25629047417608,,,9.984761302918065,3.5882021344470036,,8.573363910574477,
robust,E_sep_k14,1,8,14,12.295988972785665,158,fractal_random,7.078328417350035,7.0981571972132524,0.42433842182062115,21,1344,,,21.200085521519696,,18.94776300330383,,,12.295988972785665,,,
robust,E_full_k14,1,8,14,12.295988972785665,158,fractal_random,12.295578995667537,12.669548474884326,3.33423459500052e-05,3,1368,,,21.200085521519696,,18.94776300330383,,,12.295988972785665,,,
robust,E_full_k14_lam28,1,8,14,12.295988972785665,158,fractal_random,7.005851328208385,7.0463008111784236,0.43023279024450817,20,1369,,,21.200085521519696,,18.94776300330383,,,12.295988972785665,,,
standard,E_sep_k14,2,8,14,0.046711644837304965,387,fractal_random,0.04451857950663377,0.045242504677280644,0.04694900679069562,13,1118,1.214226359505521,1.4219009325603402,24.915879662438854,13.571873518686502,13.571912032719698,,1.0640993064341235,0.046711644837304965,1.3861453765994776,,8.742472670777216
standard,E_full_k14,2,8,14,0.046711644837304965,387,fractal_random,0.046633584341073245,0.04696275454310834,0.0016711142693348142,10,1134,1.214226359505521,1.4219009325603402,24.915879662438854,13.571873518686502,13.571912032719698,,1.0640993064341235,0.046711644837304965,1.3861453765994776,,8.742472670777216
standard,E_full_k14_lam28,2,8,14,0.046711644837304965,387,fractal_random,0.046692171840438265,0.048269030727068556,0.0004168767110326261,9,1119,1.214226359505521,1.4219009325603402,24.915879662438854,13.571873518686502,13.571912032719698,,1.0640993064341235,0.046711644837304965,1.3861453765994776,,8.742472670777216
robust,E_sep_k14,2,8,14,9.616166976782663,204,fractal_random,5.569784711628318,5.576938950082183,0.4207895177906079,22,1306,,,21.46612073327752,,14.983851952478028,,,9.616166976782663,,,15.691237888667244
robust,E_full_k14,2,8,14,9.616166976782663,204,fractal_random,5.943111576042052,6.103237769896763,0.38196668273428075,20,1298,,,21.46612073327752,,14.983851952478028,,,9.616166976782663,,,15.691237888667244
robust,E_full_k14_lam28,2,8,14,9.616166976782663,204,fractal_random,7.924007707187949,7.924007707187949,0.17597024611576267,5,1322,,,21.46612073327752,,14.983851952478028,,,9.616166976782663,,,15.691237888667244
standard,E_sep_k14,3,0,14,0.7248309620860584,140,fractal_random,0.5301855617448975,0.5303438437838809,0.2685390256798258,22,1382,,,9.212756418324712,,,1.782694688212888,,0.7248309620860584,,,
standard,E_full_k14,3,0,14,0.7248309620860584,140,fractal_random,0.5418124742122176,0.5604526221265006,0.25249816501645417,21,1387,,,9.212756418324712,,,1.782694688212888,,0.7248309620860584,,,
