k,basis,n,mean_IR,median_IR,mean_best_l2,mean_residual_norm,mean_n_gens
30,dct,150,0.1572,0.1486,4.054,4.0385,23.48
30,random,150,0.002,0.0034,4.8091,4.7966,21.66
60,dct,150,0.1803,0.1732,3.8972,3.9073,21.9067
60,random,150,0.0055,0.0083,4.7919,4.7711,20.1333
120,dct,150,0.1918,0.1915,3.8828,3.7806,19.92
120,random,150,0.0139,0.0171,4.7548,4.7285,20.1667
240,dct,150,0.2124,0.2079,3.726,3.6287,18.5667
240,random,150,0.0317,0.0362,4.6652,4.6306,18.7933
480,dct,150,0.2337,0.2293,3.5997,3.4169,16.9067
480,random,150,0.058,0.0719,4.5267,4.4309,15.2333
